NEMS-RHG,REGEN-EPRI,RIO-REPEAT,MARKAL-NETL,EPS-EI,GCAM-CGS
1.426000553,1.808714842,2.039204931,2.523977136,3.016127611,3.286467896
0.441494803,0.559984498,0.631345042,0.781432228,0.933803751,1.017502057
1.637820385,2.077383513,2.342110876,2.898891726,3.464146821,3.774643776
4.303414555,5.458377811,6.153955664,7.616911451,9.102133536,9.917972152
2.443311594,3.09905486,3.493976941,4.3245864,5.167837799,5.631039269
5.995850812,7.605035167,8.574168162,10.61247159,12.68179815,13.81848777
3.688163784,4.6780042,5.274136647,6.527936504,7.800819289,8.500019052
1.781955896,2.260202544,2.548227097,3.154007149,3.769007219,4.106829293
0.920352386,1.167359309,1.316119492,1.628995426,1.946633356,2.121113181
3.034353494,3.84872235,4.339176863,5.370712391,6.417947967,6.993198788
1.164879522,1.477513368,1.665797436,2.061800938,2.463831644,2.684668769
0.40000944,0.507365168,0.57202027,0.70800441,0.846058238,0.921891775
0.976246656,1.23825465,1.396049244,1.727926565,2.064855085,2.24993131
1.972862257,2.502344924,2.821226425,3.491905538,4.172792438,4.54680642
1.954082439,2.478524922,2.794370967,3.458665837,4.133071325,4.503525041
2.004563121,2.54255376,2.866559197,3.548015092,4.239842798,4.61986661
0.387580902,0.491601023,0.554247251,0.686006281,0.819770692,0.893248035
1.208308965,1.532598535,1.727902274,2.138669717,2.555689072,2.784759523
1.392688199,1.766462018,1.9915677,2.465015292,2.945668793,3.209693743
0.57600423,0.730593966,0.823695799,1.019509777,1.218304058,1.327502576
1.420576561,1.801835142,2.03144853,2.514376836,3.004655347,3.273967355
0.917492216,1.163731518,1.312029401,1.623933014,1.940583823,2.114521419
0.920812181,1.167942506,1.316777007,1.62980925,1.947605867,2.122172859
7.163274661,9.085775717,10.24360403,12.67877591,15.15101129,16.50902038
1.152610132,1.461951083,1.648252001,2.040084496,2.437880712,2.656391814
1.925796583,2.442647624,2.753921715,3.408600743,4.073244035,4.438335336
1.107422454,1.404635801,1.583632856,1.960103695,2.342304449,2.552248899
3.344257252,4.241799005,4.782344484,5.919232515,7.073424068,7.707426247
3.756725365,4.764966542,5.372180868,6.649288393,7.945833592,8.658031216
2.181925087,2.767516661,3.120189811,3.861940319,4.614980326,5.028628307
0.983921699,1.247989544,1.407024685,1.741511155,2.081088535,2.267619789
1.979214,2.510401366,2.830309525,3.503147927,4.186226981,4.561445122
2.280184043,2.892146649,3.260701782,4.035855651,4.82280742,5.255083272
0.722062722,0.915852073,1.032561916,1.278028818,1.527231745,1.66411994
2.196207447,2.785632163,3.140613828,3.887219658,4.645188885,5.061544506
0.89297916,1.132639575,1.276975316,1.580545658,1.888736364,2.05802679
1.472516751,1.867715196,2.105723881,2.606309375,3.114513818,3.393672615
1.323988716,1.679324763,1.893326277,2.343419321,2.800362814,3.05136376
1.748468105,2.217727198,2.500338988,3.094734787,3.698177335,4.029650815
0.491386886,0.623266766,0.702691565,0.86973968,1.03933028,1.132487095
1.031779735,1.308691863,1.475462488,1.826218408,2.182312861,2.377917012
0.718604966,0.911466314,1.027617266,1.271908696,1.519918259,1.656150935
1.51571099,1.922502034,2.167492375,2.682761851,3.205873768,3.493221301
4.35535655,5.524260153,6.228233596,7.708847185,9.211995825,10.03768157
1.594313811,2.022200515,2.279895739,2.821886427,3.372126254,3.67437526
1.461771663,1.85408631,2.090358224,2.587290901,3.09178693,3.36890868
0.165682342,0.210148664,0.236928553,0.293252651,0.350434005,0.381843959
3.631239558,4.605802479,5.192734039,6.427182372,7.680419103,8.368827206
0.869385809,1.10271417,1.243236424,1.538786152,1.838834169,2.003651783
1.775172949,2.251599169,2.538527368,3.142001541,3.754660636,4.091196804
1.443016724,1.830297863,2.063538343,2.554095234,3.052118439,3.325684639
3.282605594,4.163601091,4.69418157,5.810110976,6.943024913,7.56533921
1.982993959,2.515195803,2.835714931,3.509838339,4.194221957,4.570156701
1.125449183,1.427500597,1.609411384,1.992010451,2.380432706,2.593794652
0.778180963,0.987031495,1.112811951,1.377356379,1.645927194,1.79345425
1.692436083,2.146657136,2.420212249,2.995559832,3.579664249,3.900515214
5.711093296,7.243853578,8.166960094,10.10845954,12.07950876,13.16221422
0.693384325,0.879476881,0.991551322,1.227268936,1.46657419,1.598025552
1.36409118,1.730190047,1.95067348,2.414399449,2.885183363,3.143786909
1.588538142,2.014874755,2.271636435,2.811663671,3.359910162,3.661064221
3.72856628,4.729250039,5.3319129,6.599447679,7.886274433,8.593133676
4.892456586,6.205508702,6.99629574,8.659497736,10.34801379,11.27552262
0.692743403,0.878663947,0.990634793,1.226134524,1.465218579,1.596548437
2.096012808,2.658546988,2.997333798,3.709878227,4.433267636,4.830628422
1.114647258,1.413799619,1.593964448,1.972891375,2.3575856,2.568899723
2.100760093,2.664568363,3.004122495,3.718280775,4.443308597,4.84156937
1.031965025,1.308926882,1.475727455,1.826546366,2.182704767,2.378344045
0.660677357,0.83799192,0.944779804,1.169378608,1.397395823,1.52264662
2.43500322,3.088516659,3.482095825,4.309880833,5.150264792,5.611891166
1.003855141,1.273272783,1.435529845,1.776792735,2.123249672,2.313559896
1.49968819,1.902178986,2.144579498,2.654401987,3.171984012,3.456293952
1.515987601,1.922852883,2.167887933,2.683251444,3.206458826,3.493858799
3.109350232,3.943846937,4.446423468,5.503454311,6.576573244,7.166041899
4.607093067,5.843558469,6.588221077,8.154413081,9.744442646,10.61785244
3.183524933,4.037928866,4.552494547,5.634741252,6.733459835,7.336990483
3.941778654,4.999684986,5.636810204,6.976827025,8.337239004,9.084518914
1.173310561,1.488207154,1.677853964,2.076723618,2.481664099,2.704099574
1.608289097,2.03992653,2.299880634,2.846622253,3.401685321,3.706583753
0.845110109,1.071923285,1.208521762,1.495818909,1.78748874,1.947704181
2.562685594,3.250466811,3.664683782,4.535874711,5.420325231,5.906157549
1.932781538,2.451507222,2.763910319,3.420963898,4.088017883,4.454433387
0.721903113,0.915649628,1.032333673,1.277746315,1.526894156,1.663752093
0.40521547,0.513968409,0.579464982,0.717218924,0.857069491,0.933889984
0.514000224,0.65194914,0.735029022,0.909764594,1.087159654,1.184603492
1.151889725,1.46103733,1.647221806,2.038809397,2.436356981,2.654731508
0.555073757,0.704046111,0.79376487,0.982463484,1.174034106,1.279264639
1.662417,2.108581442,2.377284453,2.942426979,3.516171017,3.831330983
1.87235831,2.374867428,2.67750408,3.314016642,3.960216974,4.315177481
4.059015685,5.148386442,5.804461143,7.184332965,8.585206542,9.354712174
0.121752402,0.154428676,0.174107997,0.215498009,0.257517981,0.280599724
1.030597627,1.307192497,1.473772053,1.824126113,2.179812589,2.375192637
4.396001033,5.575812924,6.286355894,7.78078667,9.297962795,10.1313539
2.099415016,2.66286229,3.002199013,3.71590003,4.440463631,4.838469405
1.290248021,1.63652864,1.845076512,2.283699328,2.728998016,2.973602422
2.529634436,3.208545284,3.617420066,4.477375176,5.350418868,5.829985368
