2015 Observed,2030 Baseline,2030 Net Zero,2030 Net Zero Mandates,2050 Baseline,2050 Net Zero,2050 Net Zero Mandates
18.38,20.101,22.203,22.31,24.815,28.244,29.512
18.25,19.766,21.874,21.98,24.427,27.865,29.131
18.18,21.244,23.982,24.088,27.15,31.298,32.585
18.9,21.331,24.151,24.258,27.362,31.633,32.972
19.67,21.79,24.755,24.864,28.043,32.519,33.898
20.4,22.284,25.388,25.497,28.706,33.35,34.704
20.99,22.873,25.872,25.982,29.174,33.954,35.263
19.73,22.255,25.59,25.699,29.147,34.041,35.349
18.43,21.796,25.248,25.356,28.893,33.89,35.147
17.98,21.713,25.404,25.51,28.963,34.196,35.377
15.76,18.634,21.254,21.334,23.884,27.597,28.264
15.67,18.55,21.018,21.096,23.633,27.145,27.765
15.54,18.492,20.907,20.984,23.529,26.96,27.538
15.79,18.571,20.924,21.001,23.436,26.781,27.293
16.05,18.66,20.949,21.026,23.4,26.663,27.129
16.93,19.111,21.246,21.324,23.596,26.81,27.237
17.78,19.834,21.809,21.888,23.85,27.048,27.461
18.29,20.371,22.347,22.43,24.318,27.576,28.067
17.61,19.257,21.04,21.122,22.149,24.911,24.969
16.23,17.369,18.864,18.941,20.4,22.964,23.781
15.24,16.584,18.002,18.075,19.982,22.46,23.322
15.02,16.559,17.936,18.008,19.983,22.397,23.256
15.04,16.562,17.918,17.989,19.944,22.323,23.183
15,16.398,17.739,17.809,19.825,22.175,23.039
14.91,16.156,17.496,17.566,19.593,21.938,22.819
14.94,15.981,17.196,17.265,19.274,21.626,22.504
14.77,17.431,19.27,19.344,21.593,24.46,25.314
15.55,17.498,19.405,19.48,21.675,24.637,25.517
16.71,17.988,20.006,20.082,22.243,25.354,26.282
17.08,18.267,20.385,20.462,22.738,25.969,26.888
17.54,18.839,20.834,20.909,23.144,26.471,27.352
16.87,18.596,20.857,20.935,23.364,26.803,27.66
16.1,18.374,20.798,20.877,23.379,26.925,27.728
15.72,18.357,20.966,21.046,23.534,27.266,28.008
15.31,17.805,20.529,20.608,22.763,26.397,27.108
15.19,17.711,20.099,20.175,22.494,25.928,26.592
15.06,17.653,19.984,20.059,22.356,25.702,26.326
15.27,17.718,19.982,20.057,22.223,25.475,26.026
15.45,17.78,19.976,20.051,22.135,25.298,25.8
16.26,18.193,20.247,20.323,22.29,25.394,25.855
17.06,18.852,20.735,20.811,22.516,25.597,26.041
17.54,19.351,21.228,21.307,22.967,26.102,26.621
16.91,18.33,20.036,20.114,20.815,23.455,23.711
15.65,16.67,18.097,18.171,19.632,22.117,22.925
14.91,16.421,17.763,17.835,19.629,22.035,22.862
15.08,16.617,17.924,17.995,19.81,22.16,22.981
15.31,16.784,18.076,18.145,19.988,22.308,23.128
15.42,16.749,18.027,18.096,19.93,22.224,23.052
15.25,16.522,17.799,17.868,19.75,22.036,22.881
15.05,16.141,17.425,17.493,19.36,21.651,22.496
14.6,17.082,18.84,18.912,20.999,23.788,24.646
15.25,17.101,18.927,19,20.996,23.877,24.763
16.38,17.512,19.446,19.52,21.43,24.454,25.387
16.79,17.772,19.806,19.88,21.893,25.031,25.945
17.05,18.127,20.092,20.167,22.127,25.356,26.253
16.09,17.704,19.924,19.999,22.135,25.471,26.369
15.12,17.393,19.72,19.796,21.994,25.429,26.294
14.76,17.358,19.867,19.944,22.101,25.717,26.519
16.22,19.804,23.311,23.412,26.273,31.201,32.403
16.28,19.756,23.07,23.17,25.972,30.652,31.79
16.35,19.788,23.049,23.149,25.913,30.509,31.587
16.93,20.002,23.186,23.287,25.871,30.366,31.345
17.5,20.222,23.329,23.431,25.912,30.32,31.234
19.04,20.977,23.926,24.031,26.334,30.705,31.561
20.59,22.35,25.075,25.186,26.893,31.278,32.107
21.09,22.951,25.686,25.801,27.486,31.926,32.859
20.37,21.853,24.394,24.509,25.253,29.02,30.012
18.95,20.114,22.299,22.408,24.578,28.132,29.243
18.55,20.185,22.269,22.377,24.633,28.054,29.187
18.59,20.389,22.442,22.548,24.804,28.169,29.293
18.77,20.523,22.569,22.675,24.915,28.262,29.383
18.8,20.497,22.528,22.634,24.917,28.245,29.372
18.67,20.285,22.316,22.421,24.763,28.095,29.245
18.38,19.893,21.927,22.031,24.334,27.673,28.819
17.85,20.19,22.825,22.928,25.647,29.637,30.951
18.22,20.072,22.796,22.9,25.615,29.741,31.113
18.77,20.31,23.183,23.288,26.132,30.462,31.903
19.38,20.848,23.716,23.821,26.591,31.089,32.549
19.93,21.457,24.369,24.476,27.058,31.692,33.107
18.75,20.795,23.926,24.031,27.045,31.792,33.203
17.51,20.264,23.623,23.727,26.839,31.688,33.046
17.1,20.216,23.813,23.916,26.952,32.042,33.325
16.69,20.44,24.03,24.134,27.33,32.411,33.667
16.86,20.479,23.883,23.986,27.146,31.986,33.179
16.98,20.551,23.906,24.009,27.147,31.91,33.044
17.62,20.797,24.077,24.181,27.15,31.817,32.851
18.22,21.042,24.247,24.353,27.223,31.806,32.776
19.74,21.925,24.834,24.943,27.631,32.182,33.097
21.21,23.201,26.048,26.163,28.118,32.682,33.579
21.61,23.679,26.528,26.646,28.62,33.236,34.242
21.12,22.824,25.46,25.578,26.553,30.446,31.424
19.76,21.073,23.315,23.428,25.715,29.369,30.463
18.73,20.581,22.738,22.848,25.291,28.804,29.938
18.72,20.673,22.799,22.908,25.295,28.754,29.869
18.8,20.685,22.8,22.908,25.255,28.689,29.802
18.74,20.542,22.642,22.749,25.11,28.525,29.644
18.64,20.359,22.459,22.566,24.982,28.404,29.546
18.51,20.072,22.18,22.286,24.729,28.162,29.3
18.26,20.479,23.19,23.296,26.288,30.404,31.747
18.71,20.665,23.463,23.57,26.738,30.992,32.406
19.21,20.976,23.923,24.031,27.201,31.669,33.156
19.69,21.186,24.269,24.378,27.587,32.224,33.735
20.1,21.792,24.77,24.879,27.835,32.607,34.108
18.8,21.015,24.325,24.432,27.775,32.658,34.151
17.44,20.507,23.931,24.038,27.447,32.428,33.879
16.88,20.356,24.016,24.121,27.423,32.637,34.024
16.31,20.274,23.963,24.068,27.63,32.868,34.253
16.35,20.204,23.7,23.805,27.286,32.279,33.613
16.46,20.261,23.707,23.812,27.241,32.158,33.437
17.12,20.524,23.895,24,27.246,32.069,33.243
