ic-1,ic-2,ic-3,ic-4,ic-5
874.1,4082.7,6788.5,4016.1,4224.1
21280,7872.4,3930,7469.8,9748.7
2502.2,8523.9,1099.5,7622.6,5542.4
699.8,4082.7,9237.1,5161,13476.6
170.1,26247.4,1086.2,6778.6,7842.1
2998.8,5073.9,23950.2,3470.3,12723.9
2910.9,6188.3,1056.2,4082.7,12671.1
29271,10308.2,1099.5,13023.5,1263.3
623.4,6402.3,7859.6,9687.9,10735.1
447.5,5362.6,6097.5,9067.6,21209
3192.1,14211.7,5677.2,5484.1,13145.9
3035.3,8799.9,6351.1,8505.6,16302.3
4782.6,4606.3,4484.6,11087.3,11233.7
21766.3,4669.8,6033.5,3259.3,13947.1
8415.7,189.2,3438.3,14913.2,3587.6
16627.7,3275.6,14764.4,3158.1,850.7
4899.2,2686,4674.8,13492.1,10282.4
659.7,2551.7,3607.9,3050.3,16463.3
2269.6,3446.2,1541.1,13696.4,4737.2
3189.4,3483.5,3000.2,15950.2,16862.7
3886.7,7.1,15298.7,6442.6,9756.1
2041.3,2675.6,22071.5,9576.9,7841.4
3001.3,24012.3,7328.7,23764.2,10083.1
5749.7,7476.9,15698.7,10609.6,3797.8
4738.1,2006.1,12865.8,20102,9767.3
3386.7,8135.4,3823.6,9276.1,99625.9
7488.7,3790.5,9848.9,13563.4,12964.7
4989.3,6952.6,7950,17100.6,12507.5
4005.3,2988.8,23496.9,14114.5,11602.3
12810.6,6316.3,11483.9,1701.1,10106.1
459.1,6124,6517.7,15427.7,2210.7
2466.7,5198.8,6552.7,15402.4,4547.7
2153.5,1136.9,7333.6,7579.6,3797.1
680.4,118209.5,7579.5,1190.8,4280.9
37.9,2793.1,9080.8,3827.5,4790.3
39864.7,2565.6,3572.8,24111.5,5713.3
6975.4,5046.4,11226,2057.6,1939.2
6168.6,1559.6,3951.9,12794.9,9949.9
2041.3,4105.6,15508,10106.1,10531.4
887.7,4431.4,12670.5,5425.4,22569.7
3744.9,4988.8,6474.8,10110.3,11499
38.4,4629.7,10106.6,5320,7319.3
545.5,972.8,6506.5,14088.7,833.5
1832.6,2419,4263.5,10011.8,8941.9
13709.1,12174.7,6446.3,5483.8,3493.5
4421.4,2368.6,4533.5,5584.9,13255.2
12442.4,7456.4,3402.2,16769.8,3800.8
1701.1,15312.8,1099.6,5285.7,15427.7
5190.8,10486.4,24723.3,2163.1,10356.3
366.5,3157,9251.5,7471.2,6024.9
1282.8,13194.6,15074,6085.2,7579.6
473.8,14488.1,13194.6,16628.3,7579.6
816.5,6851.8,6632.1,9407,19746.1
805.9,4547.7,1733.8,6316.3,1971.2
408.3,1701.1,6816.9,15361.1,7263.7
10222.6,3018.4,3410.8,2975.7,11583.9
1577.4,7066.3,5231.3,14421.9,9657.3
9306.9,7707.5,8296,9275,11438
27104.3,31320.2,11035.8,10206.7,27946.7
183.3,1421.2,8813.5,13664.1,11771.9
9845,349,4530.8,5097.9,8746.7
2126.8,3615,115.7,9350.4,3316.2
6426.2,13296.9,5902.9,12210,2329.3
4082.7,5371.9,47.4,3474,14128.5
315.8,25197.7,6206.1,6965.1,4082.7
5139.9,2319.7,2842.3,2893.6,2199.1
3423.6,1315.7,2765,4522.8,5904.3
3665.2,1543.8,7007.4,1105.3,14044.1
1832.6,6992.2,9938.2,6073.6,4472.1
3456.1,4082.7,7441.3,2449.6,7609.7
86.8,4737.2,2858.8,6108.5,3266.1
3022.3,631.6,8402.4,7387.2,4487.4
30797.7,2363.1,4738.1,3789.8,3665.2
492.1,2638.9,3899,16127.4,18349
2555.6,1286.6,11190.7,43748.5,8509.1
5504.1,7787.8,6216.1,12420.2,11357.3
3514.1,4130.3,6365.8,12470.4,8934
5180.6,2933.9,8983.3,12835.6,2580.7
657.2,2652.8,578.4,43767.6,2206.4
2721.8,3806.8,12118.7,12071.5,2041.3
11948.1,3948.4,7627.1,13259.4,12300.1
1579.1,8152.2,3062,19766.9,17366.4
4784.8,3632.5,2652.8,8230.3,8821.7
1246.9,7175.3,10594.2,7487.6,6063.6
5922.6,2891.9,5103.3,12945.5,5861.2
5103.3,9510,12511.4,4476.6,12807.4
263.9,4307.4,8035.7,12565.1,9404.1
17081.5,439.8,7965.3,13201.1,5172.1
7095.2,8985.3,7513.2,21222.8,4763.1
4364,2813.3,2040,11397.5,2378.6
3419.5,4398.2,10707.1,26144.6,15503.6
5997.5,4014.5,13341.3,7661.6,5839
14176.8,5182.9,19493.9,5715.8,2182.9
12749.1,9226.2,6072.9,4398.2,3099.1
935.1,5684.7,12601,13642.8,9767.3
5105.8,5408.8,3697.6,14477,14339.5
3472.3,7660.5,6382.6,10429.4,1263.3
733,4692.4,9767.3,7706.5,5107.6
3335.6,1267.1,6316.3,9874.9,10887.1
5248.2,10886,11840.4,5533.8,2580.5
1099.6,7042.1,14794.9,8337.5,11414.2
23938.8,389.7,3638.2,4119.1,3742.4
2014.8,8386.7,7895.4,4737.2,8655.4
12877.4,439.8,7958.5,6894.4,14248.8
16305.5,88,929.2,5252.3,5297.1
8414.6,47154.7,2721.8,7690.6,14546.5
12937.5,13793.7,219.9,2583.9,5171.7
4738.1,5685.4,14969.8,2842.3,2932.1
5165,1022.9,1439.6,10462.1,24904.7
2842.3,4253.6,58403.3,18641.6,1790.4
5132.6,13686.8,4899.2,4082.7,7011.1
1173.8,2062.5,2378.1,5922.4,1515.9
9742.7,3158.1,7579.6,2898.5,3015.8
2153.3,2565.6,1894.9,3959.7,8165.3
6204.8,33656.1,13951.6,5556,6019.2
6316.3,733,6804.4,1129.8,6808.3
10206.7,170.1,4253.6,5715.7,12970.3
17484.6,1020.7,6459.8,3948.4,7392.6
10206.7,6845.4,2883.3,15790.7,6406.7
12468.7,2956,1718.8,11393.2,6278.4
5864.3,9582,6380.3,10823.8,10835.7
979.8,534.9,4008.9,8729.4,3592.5
