2015 Observed,2030 Baseline,2030 Extended Policies,2030 Net Zero,2030 Net Zero Mandates,2050 Baseline,2050 Extended Policies,2050 Net Zero,2050 Net Zero Mandates
19.116,20.9584,22.8404,24.4477,24.1189,25.9474,31.6194,34.3025,36.2252
20.29,21.1837,23.2237,24.8726,24.5459,26.3665,32.376,35.246,37.4389
20.451,21.9107,24.0112,25.557,25.2548,26.8253,33.2663,36.4694,38.9434
20.361,23.2047,25.3485,27.542,27.1441,27.8973,34.8499,38.6733,41.5772
20.104,23.9884,26.0667,28.5925,28.0817,28.2603,35.4731,40.1009,43.6036
19.504,23.6135,25.7864,28.5312,27.8668,28.4986,36.3968,41.6426,45.5478
18.584,23.0265,25.345,28.3039,27.6418,28.4757,36.8476,42.7581,46.8601
17.549,23.0102,25.7006,29.1471,28.5288,28.6151,38.0532,45.1293,49.3159
16.819,24.7882,27.2914,30.1655,29.6716,32.0803,41.4021,47.8231,53.8787
16.528,25.1505,27.5027,30.1599,29.6909,32.4384,41.4264,47.4959,54.0278
16.429,25.389,27.6974,30.3015,29.8387,32.6769,41.6193,47.6269,54.5838
16.377,25.7586,27.9881,30.5054,30.0667,32.8652,41.6928,47.5729,54.9191
16.585,26.166,28.3199,30.7414,30.3279,33.1993,41.9095,47.6561,55.415
17.2,26.9032,28.9925,31.3306,30.9384,33.7205,42.3392,47.9296,55.9311
18.677,28.0975,29.8235,31.9665,31.6498,34.2775,42.853,48.3382,56.4806
20.23,29.0359,30.7776,32.8751,32.5531,35.0118,43.6167,49.0814,57.439
20.351,29.5065,31.1388,33.0303,32.7156,34.1453,42.1391,46.8546,55.817
20.16,28.1458,29.5285,31.0409,30.728,32.616,39.5179,43.1524,49.7413
19.938,26.7917,28.3116,29.6632,29.3103,31.3744,37.9818,41.3147,46.1629
19.756,26.0275,27.7857,29.1569,28.763,30.5835,37.0805,40.2926,44.6346
19.421,25.7608,27.2502,28.784,28.2217,30.1801,36.6227,39.7618,43.9342
19.24,25.1763,26.6515,28.2577,27.6169,29.9198,36.2898,39.3748,43.2914
19.126,24.8641,26.3742,27.9975,27.4042,29.8139,36.1187,39.1397,42.9799
19.222,24.6686,26.1769,27.8061,27.225,29.6835,35.9684,39.0508,42.9252
19.871,25.85,27.6972,29.6724,29.193,32.0626,39.5445,43.9122,49.346
20.923,26.4837,28.3893,30.3414,29.9412,33.0756,40.7667,45.3202,50.9602
21.135,26.8243,28.8482,30.9227,30.5391,33.7871,41.818,46.7106,52.6798
20.971,26.8401,28.9111,31.0728,30.6827,33.7669,41.98,47.0536,53.3057
20.752,26.9721,29.1232,31.4067,31.0055,33.9603,42.4192,47.7373,54.2085
20.181,26.5107,28.7417,31.1381,30.7204,33.8099,42.478,48.0275,54.6153
