2015 Observed,2030 Baseline,2030 Extended,2030 Net Zero,2050 Baseline,2050 Extended,2050 Net Zero
20.231,24.973,25.209,26.51,29.908,32.821,34.598
19.86,23.814,23.962,25.062,28.753,30.627,32.389
19.584,22.627,22.742,23.731,27.988,29.624,31.25
19.284,21.971,22.052,23.134,27.396,28.94,30.495
19.012,21.703,21.743,22.94,27.227,28.712,30.221
18.801,21.508,21.474,22.814,27.142,28.59,30.078
18.6,21.341,21.286,22.728,27.155,28.594,30.103
18.766,21.248,21.228,22.592,27.099,28.563,30.108
19.499,21.965,22.189,23.465,28.718,31.034,33.578
20.583,22.498,22.751,24.006,29.429,31.865,34.574
20.698,22.928,23.21,24.539,30.142,32.748,35.713
20.725,23.123,23.421,24.8,30.31,33.017,36.053
20.543,23.397,23.719,25.163,30.655,33.517,36.693
19.909,23.154,23.5,25,30.713,33.716,37.063
18.705,22.698,23.072,24.641,30.444,33.589,37.076
17.452,22.363,22.79,24.499,30.2,33.587,37.333
16.591,20.67,21.063,22.745,27.863,30.877,34.29
16.22,20.509,20.865,22.443,27.484,30.32,33.477
16.027,20.557,20.903,22.453,27.399,30.174,33.234
15.98,20.659,20.989,22.499,27.245,29.925,32.809
16.079,20.569,20.882,22.345,26.953,29.515,32.241
16.637,21.075,21.368,22.799,27.202,29.652,32.209
17.966,21.911,22.19,23.603,27.86,30.225,32.67
19.458,22.393,22.642,23.954,28.234,30.565,33.034
19.615,22.577,22.782,24.002,26.869,28.647,30.073
19.493,21.689,21.813,22.887,26.222,27.674,29.027
19.263,21.189,21.179,22.464,26.049,27.374,28.595
19.208,21.166,21.114,22.499,26.31,27.577,28.73
18.971,20.999,20.971,22.285,26.012,27.258,28.372
18.794,20.817,20.813,22.051,25.736,26.965,28.059
18.686,20.684,20.694,21.891,25.597,26.825,27.934
18.859,20.502,20.517,21.702,25.42,26.658,27.786
19.487,20.847,21.011,22.322,26.817,28.619,30.662
20.536,20.911,21.079,22.421,27.036,28.889,31.049
20.529,20.954,21.152,22.542,27.252,29.228,31.596
20.464,20.985,21.218,22.663,27.421,29.533,32.104
20.152,20.977,21.242,22.723,27.409,29.622,32.317
19.371,20.404,20.704,22.212,27.081,29.383,32.238
18.163,19.765,20.096,21.667,26.592,29.005,31.997
16.824,19.462,19.846,21.561,26.353,29,32.257
15.948,19.175,19.584,21.369,26.342,28.991,32.237
15.456,18.946,19.316,20.991,25.882,28.344,31.325
15.183,18.843,19.203,20.851,25.665,28.077,30.964
15.098,18.981,19.325,20.934,25.595,27.939,30.654
15.184,19.17,19.489,21.074,25.676,27.95,30.523
15.781,19.755,20.028,21.652,26.145,28.357,30.79
17.196,20.382,20.608,22.309,26.779,28.962,31.326
18.705,21.432,21.458,23.066,27.481,29.668,32.106
18.904,21.906,21.939,23.501,27.473,29.092,30.693
18.669,21.892,21.895,23.298,27.415,28.889,30.341
18.419,21.819,21.804,23.174,27.302,28.704,30.07
18.23,21.664,21.651,23.009,27.094,28.488,29.825
17.991,21.613,21.607,22.947,27.018,28.418,29.756
17.849,21.634,21.64,22.942,27.025,28.435,29.789
17.847,21.686,21.71,22.967,27.099,28.532,29.931
18.089,21.679,21.729,22.924,27.058,28.525,29.968
18.875,21.906,21.977,23.13,27.868,29.902,32.232
20.192,22.502,22.656,23.667,28.782,30.921,33.399
20.411,23.285,23.497,24.644,29.591,31.918,34.64
20.347,23.712,23.972,25.246,29.973,32.479,35.358
20.118,23.962,24.269,25.67,30.326,32.976,35.993
19.477,23.074,23.428,24.943,30.149,32.937,36.125
18.496,22.362,22.744,24.412,30.124,33.09,36.426
17.387,22.26,22.696,24.55,30.142,33.422,37.033
16.563,19.626,20.019,21.407,25.624,29.016,31.895
16.029,19.51,19.854,21.077,25.318,28.508,31.068
15.77,19.347,19.679,20.847,25.033,28.18,30.639
15.627,19.328,19.638,20.743,24.677,27.723,29.943
15.615,19.143,19.427,20.46,24.126,27.035,29.022
15.804,19.406,19.662,20.623,23.899,26.656,28.403
