ic-1,ic-2,ic-3,ic-4,ic-5
30,24.1,8,15.5,21.2
13.1,20.5,7.7,12.7,15
11.8,20,12,10,26.3
0.5,17.8,17.8,13.6,17.6
10.2,10,24,20,64.9
23.3,3,17,35.2,18
54,2.2,0.1,12,4.6
23.1,6.9,13.4,32,14.2
4,11,29.8,26.9,5.4
17.7,6,25,30,50
6.9,9,12.9,16.8,27
25,34.1,35,6,12
17,16,6,3,31.2
32.7,10.6,49.5,52,9.6
7,10,25.2,48.5,13.4
7.2,10,12.5,25,12
80,2.5,14.5,20,8
12,16,15,26,14.5
34.8,92.8,32,20,6.5
10,41.2,3,34.7,19.9
1.6,11.5,12,26.5,49.7
8.8,8.6,20.1,28.4,15.5
3,2.7,12,25.4,57.2
0.2,24.9,12,14.8,26
1,7.6,4,13.7,24
1.8,22.2,6.2,7.1,20
24.7,6,20,44.1,28
0.8,6.5,11.8,32.2,15
3.6,36.5,15.5,21.5,12
2.8,22,15,44,57.5
2.4,6,20,12.8,31.5
27,18.6,17.2,37,6.8
10,33,6.2,6.8,27.2
4,6,24.4,15,17.3
9.2,10,4,24.4,26.6
15,10,2.7,12,6.2
8.7,2.8,14,28.5,14.4
2,12,21.5,54,28.1
3.2,43.6,22,6,16.5
0.9,17.5,36,36.9,1.3
5.5,8,37,26,69.3
1.6,6.4,10,19,48
14,3.2,13,7,40.3
5.8,9,7.5,11,12
13.1,7.5,11,15,22
2,43,24.3,41.8,12
6,28.3,5,10.1,26.4
6.3,12,9,55,17.3
15,15,22,32.1,20.9
43.5,8.3,28.1,27.9,19
14.9,4.2,3.5,38.8,13
19.7,25,25,31.6,95.2
33,14.5,3.5,8,37.7
0,8.5,25,45,5.1
1,5,1.2,11.6,17.2
15,2.3,18,42.8,8.3
7,27.1,20.9,62.8,30.1
26,12,8,22,34.4
96,5,31.2,25.6,17.7
2.5,2,12,46.4,5
10.1,1,3.3,55.4,25.3
11,25.4,27.2,52.7,19
11.2,13.4,3.4,27.7,21
100,27,11,40.3,22.8
1,32,7.6,28,14.6
13.1,5,18,18.7,24.8
1.4,7.6,63.6,29.3,37
5,18.1,32.2,19.8,18.9
3,12.8,22,24,19.4
1.5,15,19.5,21.3,0.5
3.9,19.8,30.3,11,12
5,1.5,14.4,9.9,14.8
54.5,4,23,40,29.2
18,24,10,28.9,15.1
10,7.1,67.3,8.4,0.2
5.9,10,34.4,24.2,10
42.2,7.9,23.6,17,22
6.5,0.3,10,40.1,8.3
0.3,15,20.2,55.8,19.1
8,1.5,16,22.8,6
2.9,10,11,21.7,16.1
8,13.2,11.3,22.4,20
38.3,25,15.8,18.8,23
12.5,10.6,27,3,17.4
25,15,25,16.4,38
11,24,35,35,5.5
7,12,12,15,208
31,2.3,28.6,8.4,15.3
8,7.3,12.5,18,5
4,9,19.1,20,13.1
22.2,19,18.4,20,26.1
4,50.1,11.1,19,30
26.3,14.9,47.3,68.8,6.4
0.6,1,8.5,16,6
4.8,19.1,1,7,6.5
16,15,8,29,20
32.6,7.5,13.8,12,2
6.3,27.9,28.2,20,24.3
13,12,34.2,23,30
12.1,5,14,24,32
10,21.7,12,13.9,28.5
6.1,12.5,47.5,40.7,47.5
25.3,24,14.8,16,17.3
1,11.1,26.7,15,10.5
12.9,28,18,15.5,9.5
24.7,11.5,9.5,55.9,7.3
20.1,8,24,20,9.7
5.4,8.3,10,10,52.3
0.4,6.5,22,25,40
2,12,18,11.6,14.5
1,15,28.2,18.8,34
56,32,32.5,9,52
33.8,3,14.3,16.7,26
13.1,1,4.6,24.5,38.9
16.7,18,12,40.7,0
16.9,1,10.4,15,13
10.8,5.2,27.4,2.7,28
3,19,11,5,22
2,6.6,22.3,23.8,31.7
1,30,28.2,7.5,3
16.6,0.4,13.6,5,77
3,1,25,25,20
2.5,8,17,26,21
1.6,8.4,5,30.7,15
7.8,7.2,10,36.1,44
1.1,19,18,10.5,25.1
7,10.6,20,38.8,41
7.3,40.1,9.7,39.5,16.1
20,10,5,18.4,26.2
4,12,1.8,39.5,20
1.2,14.3,2.5,24,8
0.6,2,14.3,37.7,20
1.6,15,10,37.3,10
1.5,14.5,28,29.5,47
3,28.7,20,5.5,23.1
12,0.8,14.5,9.4,38
1.6,20.4,20.1,6,12
10,8.5,8.9,14.7,20.2
29.1,17.8,2.8,18,20.1
23.3,7.3,8,40,91.9
4.8,20.3,26,17,20
6,12,20,16,29
4,75,15,21,48.6
9,19.5,10,30,0.1
6,18.9,30,46.4,19.7
3.5,10,28.7,11,17.2
10.7,18.6,17,17,23
3.8,31,3.2,10,42.5
4.5,29.5,6,33.4,51.4
1.3,42,32.5,15.5,12.7
13.6,11.2,10.6,30.9,19
1.4,21.7,3,119.1,20
2,28.1,23.6,36,29.5
5.5,18.3,19.7,41,1.7
12.4,11,16.5,39.3,8.2
10,3,31.2,38.3,24
21.8,50,10,12.6,33.8
10,3.3,27,8,40.3
17,18,13.6,15,18
5.8,12,3.6,41.2,25
4,29.5,19.2,9.2,69
9.5,12,7.4,0.8,17
